140724102	FRAUD	CREDIT CARD, THEFT BY USE OF	Wednesday	11/25/2014	14:50	TARAVAL	NONE	1700.0 Block of 30TH AV	-122.4885073049	37.7553466803	(37.7553466802939, -122.488507304873)
140971717	LARCENY/THEFT	GRAND THEFT FROM PERSON	Sunday	11/15/2014	15:50	TARAVAL	NONE	0.0 Block of YERBABUENA AV	-122.4630634442	37.7371178173	(37.7371178173116, -122.463063444198)
140970060	OTHER OFFENSES	TRAFFIC VIOLATION ARREST	Sunday	11/15/2014	00:20	RICHMOND	ARREST, BOOKED	SPRUCE ST / CALIFORNIA ST	-122.4534068605	37.7864164196	(37.7864164196236, -122.45340686052)
140971278	VEHICLE THEFT	STOLEN TRUCK	Sunday	11/15/2014	11:04	INGLESIDE	NONE	200.0 Block of BLYTHDALE AV	-122.4211624368	37.7110280385	(37.7110280384764, -122.421162436775)
140971864	DISORDERLY CONDUCT	DISTURBING THE PEACE, SWEARING	Sunday	11/15/2014	16:35	BAYVIEW	NONE	0.0 Block of MIDDLEPOINT RD	-122.3794589174	37.7356357405	(37.7356357404889, -122.379458917396)
140970844	VEHICLE THEFT	STOLEN AUTOMOBILE	Sunday	11/15/2014	06:00	TENDERLOIN	NONE	0.0 Block of 5THSTNORTH ST	-122.4070739288	37.7832480933	(37.7832480933334, -122.407073928848)
140970060	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL	Sunday	11/15/2014	00:20	RICHMOND	ARREST, BOOKED	SPRUCE ST / CALIFORNIA ST	-122.4534068605	37.7864164196	(37.7864164196236, -122.45340686052)
140970929	VEHICLE THEFT	STOLEN AUTOMOBILE	Sunday	11/15/2014	03:00	NORTHERN	UNFOUNDED	600.0 Block of EDDY ST	-122.4185954259	37.7831409335	(37.7831409335425, -122.418595425917)
140971842	MISSING PERSON	FOUND PERSON	Sunday	11/15/2014	16:10	BAYVIEW	CLEARED-CONTACT JUVENILE FOR MORE INFO	1200.0 Block of REVERE AV	-122.3840360072	37.7281494214	(37.7281494213681, -122.384036007241)
140971256	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	Sunday	11/15/2014	08:00	CENTRAL	NONE	1500.0 Block of THE EMBARCADERONORTH ST	-122.404200214	37.8059899321	(37.8059899320935, -122.404200213987)
